===== double 实验 =====
           b          x2_standard          x2_rational     relerr_std     relerr_rat
         100   1.000100020005e-02   1.000100020005e-02   1.220906e-13   2.176657e-17
        1000   1.000001000023e-03   1.000001000002e-03   2.062113e-11   5.929225e-17
       10000   1.000000011118e-04   1.000000010000e-04   1.117663e-09   5.651298e-17
      100000   1.000000338536e-05   1.000000000100e-05   3.384358e-07   1.139028e-16
     1000000   1.000007614493e-06   1.000000000001e-06   7.614492e-06   8.892192e-17
    10000000   9.965151548386e-08   1.000000000000e-07   3.484845e-03   1.324781e-17
   100000000   7.450580596924e-09   1.000000000000e-08   2.549419e-01   7.908299e-17

===== float 实验（误差更早暴露） =====
           b          x2_standard          x2_rational     relerr_std     relerr_rat
         100   1.000213623047e-02   1.000100001693e-02   1.135917e-04   1.831040e-08
        1000   1.007080078125e-03   1.000000978820e-03   7.079071e-03   2.118195e-08
       10000   0.000000000000e+00   9.999999747379e-05   1.000000e+00   3.526212e-08
      100000   0.000000000000e+00   9.999999747379e-06   1.000000e+00   2.536212e-08
     1000000   0.000000000000e+00   9.999999974752e-07   1.000000e+00   2.525757e-09
    10000000   0.000000000000e+00   1.000000011686e-07   1.000000e+00   1.168609e-08
   100000000   0.000000000000e+00   9.999999939225e-09   1.000000e+00   6.077471e-09
