Exact f''(2) = 2402.318601458346

Using table data, h = 0.1
Method                    Approximation          Abs Error
Forward 3-point             4189.712800        1787.394199
Backward 3-point            1468.599900         933.718701
Central 3-point             2460.877300          58.558699
Central 5-point             2399.497458           2.821143

Errors for different h
h                 Forward3       Backward3        Central3        Central5
1.0e-01       1.787394e+03    9.337187e+02    5.855876e+01    2.821065e+00
1.0e-02       1.297299e+02    1.216233e+02    5.788084e-01    2.719760e-04
1.0e-03       1.259819e+01    1.251716e+01    5.787452e-03    6.372238e-08
1.0e-04       1.256140e+00    1.255350e+00    6.822253e-05    1.505025e-05
1.0e-05       1.252957e-01    1.245311e-01    2.401739e-04    4.059672e-04
1.0e-06       2.151964e-01    1.725638e-01    1.542858e-01    2.217874e-01
1.0e-07       2.773755e+01    6.421273e+00    1.063175e+01    1.300023e+01
1.0e-08       2.706904e+02    6.970160e+02    1.285818e+02    9.642335e+01
1.0e-09       1.661317e+04    1.112845e+05    1.180854e+04    2.483515e+04
1.0e-10       1.418683e+06    2.844573e+06    1.418683e+06    3.905583e+06
1.0e-11       1.421109e+08    2.402319e+03    1.421061e+08    3.671113e+08
1.0e-12       1.421085e+10    8.526513e+10    1.421085e+10    3.434290e+10
